Audience,Category,Service / Item,Price,Notes
Women,D-TAN,O3+,450,
Women,D-TAN,Kanpeki,500,
Women,D-TAN,Derma,750,
Women,THREADINGS,Eye Brow,40,
Women,THREADINGS,Forehead,40,
Women,THREADINGS,Upper Lips,40,
Women,THREADINGS,Chin,40,
Women,THREADINGS,Side Locks,70,
Women,FACE WAX NORMAL,Upper Lips,50,
Women,FACE WAX NORMAL,Chin,50,
Women,FACE WAX NORMAL,Forehead,50,
Women,FACE WAX NORMAL,Nose,50,
Women,FACE WAX NORMAL,Side Locks,80,
Women,FACE WAX NORMAL,Full Face,400,
Women,FACE WAX BRAZILIAN,Upper Lips,80,
Women,FACE WAX BRAZILIAN,Chin,80,
Women,FACE WAX BRAZILIAN,Nose,80,
Women,FACE WAX BRAZILIAN,Forehead,100,
Women,FACE WAX BRAZILIAN,Side Locks,150,
Women,FACE WAX BRAZILIAN,Full Face,600,
Women,NORMAL WAX,Under Arms,80,
Women,NORMAL WAX,Full Arms,150,
Women,NORMAL WAX,Half Legs,150,
Women,NORMAL WAX,Full Legs,200,
Women,NORMAL WAX,Stomach,400,
Women,NORMAL WAX,Back,500,
Women,NORMAL WAX,Full Body,1500,
Women,CHOCOLATE / ALOEVERA WAX,Under Arms,100,
Women,CHOCOLATE / ALOEVERA WAX,Full Arms,250,
Women,CHOCOLATE / ALOEVERA WAX,Half Legs,220,
Women,CHOCOLATE / ALOEVERA WAX,Full Legs,350,
Women,CHOCOLATE / ALOEVERA WAX,Stomach,500,
Women,CHOCOLATE / ALOEVERA WAX,Back,600,
Women,CHOCOLATE / ALOEVERA WAX,Full Body,2000,
Women,RICA WAX,Under Arms,150,
Women,RICA WAX,Full Arms,450,
Women,RICA WAX,Half Legs,300,
Women,RICA WAX,Full Legs,500,
Women,RICA WAX,Stomach,700,
Women,RICA WAX,Back,900,
Women,RICA WAX,Bikni Wax,1000,
Women,RICA WAX,Full Body,2500,
Women,MANICURE,Basic without pack,300,
Women,MANICURE,Basic with Pack,350,
Women,MANICURE,Sara / Blossom Kochhar,600,
Women,MANICURE,Ragga,700,
Women,MANICURE,Lotus,800,
Women,MANICURE,O3,900,
Women,MANICURE,Crystal,1000,
Women,MANICURE,Pedilogix,1400,
Women,PEDICURE,Basic without Pack,400,
Women,PEDICURE,Basic with Pack,450,
Women,PEDICURE,Saltbase,600,
Women,PEDICURE,Blossom Kochhar,800,
Women,PEDICURE,Derma,800,
Women,PEDICURE,Lotus,900,
Women,PEDICURE,O3+,1000,
Women,PEDICURE,Hydra Foot Facial,1500,
Women,PEDICURE,Pedilogix/Glycol,2000,
Women,HEAD WASH,Normal,200,
Women,HEAD WASH,L’oreal,300,
Women,HEAD WASH,Wella,300,
Women,HEAD WASH,Sulfate Free,450,
Women,HEAD WASH,Schwarzkopf's,450,
Women,HEAD WASH,Milk Shake,450,
Women,HEAD WASH,Wella Fusion,450,
Women,HEAD WASH,De Fabulous,500,
Women,HAIR CUTS & STYLING,Hair Cut,350,
Women,HAIR CUTS & STYLING,Ironing Straight,350,
Women,HAIR CUTS & STYLING,Crimping,350,
Women,HAIR CUTS & STYLING,Ironing Curls,350,
Women,HAIR CUTS & STYLING,Tong Curls,450,
Women,HAIR CUTS & STYLING,Open Hair Style,600,
Women,HAIR CUTS & STYLING,Steampod,600,
Women,HAIR CUTS & STYLING,Basic HairDOO,700,
Women,BLOW DRY,Straight Dry,300,
Women,BLOW DRY,In Turn Dry,350,
Women,BLOW DRY,Out Turn Dry,350,
Women,HAIR SPA,Basic,600,
Women,HAIR SPA,Matrix / Streax,700,
Women,HAIR SPA,Schwarzkopf's,700,
Women,HAIR SPA,Regular (L’oreal),800,
Women,HAIR SPA,Milk Shake,1500,
Women,HAIR SPA,Wella Enrich,1500,
Women,HAIR SPA,Luxury,2000,
Women,HAIR COLOURING,Root Touch up,800,
Women,HAIR COLOURING,Inoa Touch up,900,
Women,HAIR COLOURING,Global Hair colour,3500,
Women,HAIR COLOURING,Full Head Highlights,3500,
Women,HAIR COLOURING,Global Hair Colour - Amonia Free,4000,
Women,HAIR COLOURING,Balayage,4000,
Women,HAIR COLOURING,Ombre,4000,
Women,REBONDING / SMO0THENING,Matrix,3000,
Women,REBONDING / SMO0THENING,Schwarzkopf's,3500,
Women,REBONDING / SMO0THENING,L’oreal,4500,
Women,HAIR CHEMICAL,Kerafine,2000,
Women,HAIR CHEMICAL,Velvetree,3000,
Women,HAIR CHEMICAL,De Fabulous,3500,
Women,HAIR CHEMICAL,G.K,4500,
Women,HAIR CHEMICAL,Zap,5000,
Women,HAIR CHEMICAL,Botox,6500,
Women,HAIR CHEMICAL,Nanoplastia,7000,
Women,MASSAGE,Head ( Normal),250,
Women,MASSAGE,Head ( Advance),350,
Women,MASSAGE,Head ( Luxury),950,
Women,MASSAGE,Foot ( Normal),300,
Women,MASSAGE,Foot ( Advance),550,
Women,MASSAGE,Leg (Normal),650,
Women,HAIR TREATMENT,L’oreal Dandruff Treatment,1500,
Women,HAIR TREATMENT,Schwarzkopf's Dandruff Treatment,1500,
Women,HAIR TREATMENT,Wella Fusion Treatment,1500,
Women,HAIR TREATMENT,Milk Shake Colour Treatment,2000,
Women,HAIR TREATMENT,Wella Plex,2000,
Women,HAIR TREATMENT,Ola Plex,2500,
Women,HAIR TREATMENT,Metal Dx,2500,
Women,HAIR TREATMENT,Milk Shake Energizing Blend,2500,
Women,BODY POLISHING,Hands,450,
Women,BODY POLISHING,Legs,650,
Women,BODY POLISHING,Stomach,650,
Women,BODY POLISHING,Back,1100,
Women,BODY POLISHING,Full Body ( Normal),2500,
Women,BODY POLISHING,Full Body ( Advance),3500,
Women,BODY POLISHING,Full Body ( Luxury ),6000,
Women,MAKE UP,Basic,2000,
Women,MAKE UP,Nude,2500,
Women,MAKE UP,HD,3000,
Women,MAKE UP,Air Brush,3500,
Women,MAKE UP,Celebrity,4000,
Women,MAKE UP,Trial,2500,
Women,ENGAGEMENT,HD,5000,
Women,ENGAGEMENT,Air Brush,7000,
Women,ENGAGEMENT,Celebrity,9000,
Women,BRIDAL,Basic,7000,
Women,BRIDAL,HD,9000,
Women,BRIDAL,Air Brush,12000,
Women,BRIDAL,Celebrity,15000,
Women,PRE BRIDAL PACKAGE SILVER,Lotus Facial,2000,
Women,PRE BRIDAL PACKAGE SILVER,Face Bleach,500,
Women,PRE BRIDAL PACKAGE SILVER,Lotus Clean UP,1000,
Women,PRE BRIDAL PACKAGE SILVER,Lotus Clean UP,1000,
Women,PRE BRIDAL PACKAGE SILVER,Aloevera Full Body Wax,2000,
Women,PRE BRIDAL PACKAGE SILVER,Full Body Bleach,2000,
Women,PRE BRIDAL PACKAGE SILVER,Nature’s Body Polishing,2500,
Women,PRE BRIDAL PACKAGE SILVER,Lotus Pedi+Mani,1500,
Women,PRE BRIDAL PACKAGE SILVER,Sara Pedi+ Mani,1100,
Women,PRE BRIDAL PACKAGE SILVER,Wella Enrich Hair Spa,1000,
Women,PRE BRIDAL PACKAGE SILVER,Threading+ Upper Lips,80,
Women,PRE BRIDAL PACKAGE SILVER,Head Wash+Hair Cut,400,
Women,PRE BRIDAL PACKAGE SILVER,Rica Bikini Wax,1000,
Women,PRE BRIDAL PACKAGE SILVER,Basic Sagan Make up,4000,
Women,PRE BRIDAL PACKAGE SILVER,HD Bridal Make up,9000,
Women,PRE BRIDAL PACKAGE GOLD,O3 Facial,3500,
Women,PRE BRIDAL PACKAGE GOLD,03 Face Bleach,500,
Women,PRE BRIDAL PACKAGE GOLD,O3 Clean UP,2000,
Women,PRE BRIDAL PACKAGE GOLD,O3 Clean UP,2000,
Women,PRE BRIDAL PACKAGE GOLD,Full Body D - Tan Bleach,2500,
Women,PRE BRIDAL PACKAGE GOLD,Rica Full Body Wax,2500,
Women,PRE BRIDAL PACKAGE GOLD,Body Polishing,3000,
Women,PRE BRIDAL PACKAGE GOLD,Body Polishing Pack,1500,
Women,PRE BRIDAL PACKAGE GOLD,O3 Pedi+Mani,1700,
Women,PRE BRIDAL PACKAGE GOLD,Lotus Pedi+Mani,1500,
Women,PRE BRIDAL PACKAGE GOLD,Head Wash +Hair Cut,400,
Women,PRE BRIDAL PACKAGE GOLD,Fusion Hair Treatment,1500,
Women,PRE BRIDAL PACKAGE GOLD,Threading + Upper Lips,80,
Women,PRE BRIDAL PACKAGE GOLD,Rica Bikini Wax,1000,
Women,PRE BRIDAL PACKAGE GOLD,HD Mehandi Make up,4000,
Women,PRE BRIDAL PACKAGE GOLD,HD Sagan Make up,5000,
Women,PRE BRIDAL PACKAGE GOLD,Air Brush Bridal Make up,12000,
Women,PRE BRIDAL PACKAGE PLATINUM,Casmara Facial,4000,
Women,PRE BRIDAL PACKAGE PLATINUM,Face Bleach,500,
Women,PRE BRIDAL PACKAGE PLATINUM,Casmara Clean Up,2500,
Women,PRE BRIDAL PACKAGE PLATINUM,Casmara Clean Up,2500,
Women,PRE BRIDAL PACKAGE PLATINUM,Body D- Tan Bleach,2500,
Women,PRE BRIDAL PACKAGE PLATINUM,Rica Full Body wax,2500,
Women,PRE BRIDAL PACKAGE PLATINUM,Body Mellow Polishing,3500,
Women,PRE BRIDAL PACKAGE PLATINUM,Body Mellow Polishing Pack,2000,
Women,PRE BRIDAL PACKAGE PLATINUM,O3 Pedi+Mani,1700,
Women,PRE BRIDAL PACKAGE PLATINUM,O3 Pedi+Mani,1700,
Women,PRE BRIDAL PACKAGE PLATINUM,Head Wash+ Hair Cut,400,
Women,PRE BRIDAL PACKAGE PLATINUM,Milk Shake Hair Treatment,2500,
Women,PRE BRIDAL PACKAGE PLATINUM,Threading + Upper Lips,80,
Women,PRE BRIDAL PACKAGE PLATINUM,Bikini Wax Brazilian,1500,
Women,PRE BRIDAL PACKAGE PLATINUM,HD Mehandi Make up,4000,
Women,PRE BRIDAL PACKAGE PLATINUM,Air Brush Sagan Make up,7000,
Women,PRE BRIDAL PACKAGE PLATINUM,Celebrity Bridal Make up,15000,
Women,NAILS,Removal,300,
Women,NAILS,Nail Art,700,
Women,NAILS,Refilling,900,
Women,NAILS,Acrylic Nails,1000,
Women,NAILS,Gel/ Cat Eye,1200,
Women,NAILS,Nail Extensions,1400,
Women,NAILS,Dip Powder Nails,1000,
Women,NAILS,Glitter Nail,500,
Women,NAILS,Nail Paint( Hand / feet),200,
Men,FACIAL COMBO,Aroma Skin Brightning,800,
Men,FACIAL COMBO,Vedic Line,1000,
Men,FACIAL COMBO,VLCC,1200,
Men,FACIAL COMBO,Oxylife,1200,
Men,FACIAL COMBO,Sara,1500,
Men,FACIAL COMBO,Lotus,1500,
Men,FACIAL COMBO,Raaga,1500,
Men,FACIAL COMBO,O3 ( 6 Steps ),1800,
Men,FACIAL COMBO,O3 +Treatment,2500,
Men,FACIAL COMBO,Casmara,4000,
Men,BLEACH COMBO,Fruit Bleach,300,
Men,BLEACH COMBO,Oxylife,400,
Men,BLEACH COMBO,VLCC,400,
Men,BLEACH COMBO,O3 +,500,
Men,BLEACH COMBO,Wella,500,
Men,D-TAN COMBO,Oxylife,300,
Men,D-TAN COMBO,Raaga,400,
Men,D-TAN COMBO,Sara,400,
Men,D-TAN COMBO,O3+,500,
Men,CLEAN UP,Lotus,1000,
Men,CLEAN UP,O3+,1200,
Men,CLEAN UP,Korean,1500,
Men,BEARD COLOURING,Majirel (Shaving Free),500,
Men,BEARD COLOURING,Inoa (Shaving Free),600,
Men,BEARD COLOURING,BEGIN(Shaving Free),600,
Men,TRIMMING,Under Arms Trimming,100,
Men,TRIMMING,Hands Trimming,200,
Men,TRIMMING,Chest Trimming,200,
Men,TRIMMING,Back Trimming,200,
Men,TRIMMING,Full Legs Trimming,200,
Men,TRIMMING,Full Body Trimming,900,
Men,WAXING,Under Arms,200,
Men,WAXING,Face Wax,300,
Men,WAXING,Hands,800,
Men,WAXING,Chest,800,
Men,WAXING,Back,800,
Men,WAXING,Full Legs,1000,
Men,WAXING,Full Body,3500,
Men,MANICURE,Basic,350,
Men,MANICURE,Blossom Kochhar,450,
Men,MANICURE,Sara,600,
Men,MANICURE,Raaga,700,
Men,MANICURE,Lotus,800,
Men,MANICURE,O3+,900,
Men,MANICURE,Crystal Lotus,1000,
Men,MANICURE,Hydra Facial,1500,
Men,MANICURE,Glyco Facial,2000,
Men,PEDICURE,Basic,450,
Men,PEDICURE,Blossom Kochhar,600,
Men,PEDICURE,Sara,700,
Men,PEDICURE,Raaga,800,
Men,PEDICURE,Lotus,900,
Men,PEDICURE,O3+,1000,
Men,PEDICURE,Crystal Lotus,1200,
Men,PEDICURE,Hydra Facial,1500,
Men,PEDICURE,Glyco Facial,2000,
Men,FOOT MASSAGE,Fruit Cream/ Oil,250,
Men,FOOT MASSAGE,Lotus,350,
Men,FOOT MASSAGE,O3+,450,
Men,CUT & STYLING,Shaving,100,
Men,CUT & STYLING,Beard,150,
Men,CUT & STYLING,Hair Styling,100,
Men,CUT & STYLING,Hair Cut,250,
Men,CUT & STYLING,Baby Boy,250,
Men,HEAD MASSAGE,Mustard Oil,200,
Men,HEAD MASSAGE,Coconut Oil,200,
Men,HEAD MASSAGE,Navratan,200,
Men,HEAD MASSAGE,Almond Oil,250,
Men,HEAD MASSAGE,Olive Oil,350,
Men,HEAD MASSAGE,Rogan Badam Oil,450,
Men,HEAD WASH,Normal,100,
Men,HEAD WASH,L’oreal,120,
Men,HEAD WASH,Wella,120,
Men,HEAD WASH,Schwarzkopf's,150,
Men,HEAD WASH,Sulfate Free,200,
Men,HEAD WASH,Wella Sulfate Free,200,
Men,HEAD WASH,G.K Sulfate Free,250,
Men,HEAD WASH,Keratine Wash,300,
Men,COLOURING,Streax,550,
Men,COLOURING,Godrej,650,
Men,COLOURING,L’oreal Majeral,800,
Men,COLOURING,Schwarzkopf's,900,
Men,COLOURING,L’oreal Inoa,900,
Men,COLOURING COMBO,L’oreal Majeral,1100,
Men,COLOURING COMBO,Schwarzkopf's,1200,
Men,COLOURING COMBO,L’oreal Inoa,1200,
Men,HAIR TREATMENT,L’oreal Dandruff Treatment,1500,
Men,HAIR TREATMENT,L’oreal Scalp Advance,1500,
Men,HAIR TREATMENT,Wella Fusion,1500,
Men,HAIR TREATMENT,Smoothening Schwarzkopf's,2000,
Men,HAIR TREATMENT,Milk Shake Intigrity With Ampule,2000,
Men,HAIR TREATMENT,Milk Shake Colour Care,2000,
Men,HAIR TREATMENT,Smothning L’oreal,2500,
Men,HAIR TREATMENT,Keratin Kerafix,2500,
Men,GROOM MAKEUP,Basic Touch up,1000,
Men,GROOM MAKEUP,HD,1500,
Men,GROOM MAKEUP,Groom Special,2500,
Men,GROOM 1 DAY PACKAGE,"Casmara Facial / Milk Pack, Manicure / Pedicure / Body Trimming (A/UA/L), Hair Spa / Hair Cut / Hair colour/Neck D-Tan",10000,
Couples,COUPLE’S COMPLETE MAKEOVER PACKAGE - GROOM,Hair Cut /Beard /Hair Spa /Hair Colour /Body Trimming/Hands Bleach / Mani+Pedi / O3 Clean Up /Casmara Facial / Hydra Facial / Make Up,,
Couples,COUPLE’S COMPLETE MAKEOVER PACKAGE - BRIDE,Hair Cut /Hair Spa / Keratin Treatment /Global Hair Colour/ Highlighting/ O3 Clean Up / O3 Face Bleah / D -Tan Face Blech / Casmara Facial / Hydra Facial / Full Body Wax / Bikini wax / Body Polishing / Threading+Upper Lips / Body Pack / Body Bleach / Basic Mani +Pedi / Crystle Mani+Pedi / Celebrity Sagan Make up / Celebrity Bridal Make Up / Nail Extensions,,
Women,PRE BRIDAL PACKAGE SILVER,Package Total,29080,
Women,PRE BRIDAL PACKAGE GOLD,Package Total,44680,
Women,PRE BRIDAL PACKAGE PLATINUM,Package Total,53880,
